Wall time,Step,Value
1713990910.895108,0,372.4130859375
1713990928.797273,1,343.9853820800781
1713990947.600395,2,333.11297607421875
1713990966.3027978,3,310.024658203125
1713990984.0318696,4,283.191650390625
1713991003.5552757,5,265.61126708984375
1713991021.3260398,6,263.3363342285156
1713991038.4191277,7,242.5913543701172
1713991056.9904552,8,217.9141845703125
1713991076.1556134,9,210.50799560546875
1713991095.1868696,10,205.40797424316406
1713991112.8138647,11,202.77105712890625
1713991131.611677,12,190.42274475097656
1713991150.9175181,13,171.26832580566406
1713991169.8700042,14,169.72720336914062
1713991188.900658,15,159.65927124023438
1713991209.0067592,16,147.4630584716797
1713991226.5228915,17,149.47283935546875
1713991244.3209567,18,145.95277404785156
1713991263.9521165,19,137.23452758789062
1713991283.9675236,20,130.96815490722656
1713991302.951386,21,133.9208221435547
1713991320.6750028,22,120.4013900756836
1713991339.32084,23,125.29843139648438
1713991359.2389925,24,126.51066589355469
1713991377.1734893,25,114.96910095214844
1713991394.7750726,26,114.26051330566406
1713991412.834168,27,108.48320007324219
1713991431.185668,28,105.56131744384766
1713991449.7570713,29,106.59375762939453
1713991467.6411335,30,108.61351776123047
1713991485.3965087,31,102.18745422363281
1713991505.027385,32,104.92886352539062
1713991525.0814004,33,105.09806823730469
1713991544.1373494,34,99.37162780761719
1713991563.7586474,35,95.44596862792969
1713991581.8526652,36,93.86184692382812
1713991599.4478579,37,96.4163818359375
1713991617.8811982,38,93.29147338867188
1713991636.6282504,39,91.40591430664062
1713991654.5016406,40,91.51953887939453
1713991673.0431345,41,90.46964263916016
1713991690.541908,42,92.59288787841797
1713991708.324331,43,89.97982025146484
1713991727.2489924,44,94.69441986083984
1713991746.420966,45,88.97173309326172
1713991764.3184998,46,85.40599822998047
1713991783.3390443,47,89.1871566772461
1713991801.1517315,48,83.1940689086914
1713991819.078642,49,83.95561218261719
